Service,Customer Name,Vehicle Model,Service Type,Service Date,Service Cost,Service Status,Payment Method,Technician
SVC1000,John Doe,Honda Accord,Brake Repair,6/28/2023,"$661,786.60 ",Completed,Card,Tech13
SVC1001,Grace Johnson,Toyota Corolla,Engine Diagnostics,5/15/2025,"$45,291.30 ",Pending,Cash,Tech25
SVC1002,Fatima Bello,Nissan Altima,Wheel Alignment,2/14/2025,"$85,045.90 ",Pending,Card,Tech13
SVC1016,Fatima Bello,Toyota Corolla,Battery Replacement,7/23/2024,"$97,174.20 ",Cancelled,Transfer,Tech18
SVC1004,Jane Smith,Kia Rio,Battery Replacement,12/1/2023,"$60,021.00 ",Cancelled,Transfer,Tech21
SVC1005,Chinedu Okeke,Hyundai Elantra,Oil Change,16/05/2023,"$137,404.70 ",Cancelled,Transfer,Tech32
SVC1006,Tunde Bakare,Kia Rio,Brake Repair,5/27/2025,"$62,913.10 ",Completed,Cash,Tech49
SVC1007,Adewale Musa,Toyota Corolla,Ac Service,2/20/2025,"$149,437.60 ",Completed,Transfer,Tech47
SVC1008,Fatima Bello,Ford Focus,Oil Change,11/20/2023,"$7,824.10 ",In Progress,Card,Tech7
SVC1009,Chinedu Okeke,Nissan Altima,Engine Diagnostics,10/25/2024,"$23,616.80 ",Completed,Card,Tech4
SVC1010,Chinedu Okeke,Hyundai Elantra,Engine Diagnostics,26/12/2025,"$70,465.50 ",Completed,Card,Tech39
SVC1011,Jane Smith,Kia Rio,Brake Repair,6/16/2025,"$79,552.60 ",Completed,Card,Tech36
SVC1012,Tunde Bakare,Toyota Corolla,Battery Replacement,11/7/2024,"$64,609.80 ",In Progress,Transfer,Tech37
SVC1013,Jane Smith,Toyota Corolla,Brake Repair,12/26/2024,"$45,389.10 ",Pending,Cash,Tech26
SVC1014,John Doe,Hyundai Elantra,Oil Change,14/05/2025,"$74,797.00 ",Completed,Card,Tech7
SVC1015,Grace Johnson,Honda Accord,Ac Service,4/12/2025,"$91,280.10 ",In Progress,Cash,Tech1
SVC1017,John Doe,Nissan Altima,Oil Change,1/16/2024,"$39,609.50 ",Pending,Card,Tech16
SVC941,Fatima Bello,Ford Focus,Ac Service,2/23/2024,"$43,454.10 ",Completed,Cash,Tech21
SVC1019,Chinedu Okeke,Toyota Corolla,Oil Change,3/12/2024,"$141,144.90 ",Cancelled,Transfer,Tech19
SVC1020,Fatima Bello,Kia Rio,Wheel Alignment,9/5/2024,"$41,412.60 ",Pending,Transfer,Tech36
SVC1021,John Doe,Kia Rio,Battery Replacement,11/1/2025,"$15,910.40 ",In Progress,Transfer,Tech3
SVC1022,Adewale Musa,Kia Rio,Oil Change,1/20/2023,"$101,705.30 ",Completed,Transfer,Tech38
SVC1023,John Doe,Hyundai Elantra,Engine Diagnostics,6/3/2024,"$118,446.00 ",In Progress,Card,Tech11
SVC1024,Grace Johnson,Hyundai Elantra,Brake Repair,1/3/2024,"$37,323.90 ",Cancelled,Transfer,Tech28
SVC1025,Grace Johnson,Ford Focus,Oil Change,17/09/2024,"$30,892.30 ",Completed,Cash,Tech28
SVC1026,Emeka Obi,Hyundai Elantra,Wheel Alignment,8/25/2023,"$1,077,738.70 ",Pending,Card,Tech27
SVC1027,Adewale Musa,Toyota Corolla,Oil Change,6/5/2024,"$101,699.50 ",Cancelled,Transfer,Tech29
SVC1028,Tunde Bakare,Nissan Altima,Battery Replacement,11/4/2025,"$35,476.50 ",In Progress,Card,Tech20
SVC1030,John Doe,Kia Rio,Oil Change,9/14/2024,"$133,489.90 ",Pending,Cash,Tech26
SVC1031,John Doe,Toyota Corolla,Brake Repair,6/23/2023,"$121,595.90 ",Cancelled,Transfer,Tech30
SVC1032,Emeka Obi,Nissan Altima,Brake Repair,7/21/2025,"$112,830.00 ",In Progress,Cash,Tech18
SVC1033,Chinedu Okeke,Ford Focus,Engine Diagnostics,24/03/2024,"$51,357.90 ",Cancelled,Cash,Tech45
SVC1034,Grace Johnson,Hyundai Elantra,Battery Replacement,7/10/2024,"$61,474.10 ",Cancelled,Transfer,Tech25
SVC1035,John Doe,Hyundai Elantra,Battery Replacement,26/09/2025,"$44,575.60 ",Cancelled,Cash,Tech11
SVC1036,Grace Johnson,Kia Rio,Wheel Alignment,6/21/2023,"$24,676.40 ",Completed,Card,Tech14
SVC1037,John Doe,Hyundai Elantra,Wheel Alignment,6/17/2023,"$23,302.00 ",In Progress,Transfer,Tech42
SVC1038,Jane Smith,Honda Accord,Wheel Alignment,9/11/2023,"$82,248.10 ",In Progress,Transfer,Tech45
SVC1039,Jane Smith,Kia Rio,Unknown Service,2/22/2023,"$111,400.30 ",Pending,Card,Tech38
SVC1040,Emeka Obi,Kia Rio,Brake Repair,3/26/2023,"$113,819.10 ",Cancelled,Cash,Tech27
SVC1041,Emeka Obi,Toyota Corolla,Brake Repair,10/6/2025,"$142,469.10 ",Cancelled,Cash,Tech28
SVC1042,Chinedu Okeke,Ford Focus,Battery Replacement,12/7/2025,"$49,399.90 ",Pending,Cash,Tech32
SVC1043,Tunde Bakare,Ford Focus,Battery Replacement,1/21/2023,"$112,717.80 ",Completed,Cash,Tech49
SVC1044,Tunde Bakare,Ford Focus,Brake Repair,8/4/2025,"$48,828.80 ",Pending,Card,Tech48
SVC1045,Fatima Bello,Ford Focus,Oil Change,10/8/2024,"$54,402.40 ",Completed,Cash,Tech48
SVC1046,Tunde Bakare,Ford Focus,Wheel Alignment,9/1/2025,"$85,920.60 ",Pending,Card,Tech36
SVC1047,Adewale Musa,Nissan Altima,Battery Replacement,9/7/2025,"$43,373.70 ",Cancelled,Cash,Tech5
SVC1048,Grace Johnson,Kia Rio,Wheel Alignment,5/23/2024,"$104,670.80 ",Completed,Cash,Tech25
